Prey \ predator,Killer whales,Toothed Wales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N. Fur Seal,Steller Sea Lion,Resident seals,Wintering seals,Mobile Seabirds,Inshore Seabirds,Sleeper shark,W. Pollock,P. cod,Herring,Arrowtooth,Kamchatka fl.,Gr. Turbot,P. Halibut,YF. Sole,FH. Sole,N. Rock sole,Flatfish,Skates,Sablefish,Eelpouts,Deepwater Fish,POP,Rockfish,Shortspine Thorns,Other Sebastes,Atka mackerel,Greenlings,Sculpins,Misc.fish shallow,Octopi,Squids,Salmon,Bathylagidae,Myctophid,Forage fish,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. crabs,Misc. Crustacean,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Polychaetes,Misc.worms,Scyphozoid,Fish Larvae,Chaetognaths,Euphasids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Large Phytoplankton,Sm Phytoplankton,Outside Production,Discards,Offal,Detritus,Outside Detritus
Wintering seals,0,0,0,0,0,0,0.001787347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116564,0
Mobile Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1958777,0
Inshore Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,3.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02195488,0
Sleeper shark,0,7.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03648948,0
W. Pollock,0.004152593,0.01328185,0.004599358,0,0.3514994,0.009137532,0,0.6604171,0.01997783,0.0380267,0.2842789,0.1302448,0.009752308,0.03194838,6.343654,2.229038,0,1.37682,0.1126764,0.3244097,0.341843,0.02881582,0.3137373,0.004060077,0.02114374,0.6613529,0.0163295,0.01876418,0,0,0,0,0,0,0.0001126,0.2177078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5130154,25.13776,0
P. cod,0.000513721,0.003955184,0.000200545,0,0,4.28E-05,0,0.01540973,0.004250603,0.01063684,0.002868607,0.04226027,0.000425228,0,0.06265631,0.04308409,0,5.79E-06,0,0.001041296,0.02999605,5.75E-05,0.000201846,0,0.000210295,0.007933564,0,0,0,0,0,0,0,0,0,0.06908559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09269932,4.542267,0
Herring,0.000125032,7.15E-05,2.48E-05,0,0.001892319,0.000275127,0,0.1320834,0.001821687,0.006648026,0.02581746,0.000682768,0.002772397,0,0.05739962,0.01599209,0,0.02095396,0,0.01020476,0.001662688,0,0,0.007717491,0,0.001479286,1.30E-05,0.003517956,0,0,0,0,0,0,0,0.01124857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01916432,0.9390517,0
Arrowtooth,0.000208302,0,0,0,0,0,0,0,0,0,0,0,0,0.01919693,0.05373979,0.005387659,0,0.005341609,1.15E-06,0,0.000566716,3.75E-06,0,0,0,0.0203355,6.13E-06,0,0,0,0,0,0,0,0,0.000140702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01656591,0.8117298,0
Kamchatka fl.,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001139857,1.08E-05,0.000482932,0,9.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000460954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108682,0.05432541,0
Gr. Turbot,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.007100788,0.03522305,0.00071059,0,0,0,0,0,0.000127071,8.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01172293,0.5744236,0
P. Halibut,4.89E-05,0,0,0,0,9.79E-06,0,0,0,0,0,0,0,0.004510801,0.00029033,0.007486094,0,0.000935622,0,0,2.70E-05,0.000437237,0,0,4.51E-05,0.001033289,0,0,0,0,0,0,0,0,0,2.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01012862,0.4963022,0
YF. Sole,0.001066125,0,0,0,0,0,0,0.03892123,0.001610399,0.004701564,0.005071783,0,0,0,2.48E-05,0.05763276,0,0.000447289,0,0,0.02097437,0,0,0,0,0.03822009,0,0,0,0,0,0,0,0,0,0.06001985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264044,1.293815,0
FH. Sole,0.000263337,0,0,0,0,0,0,0.009613693,0.000397774,0.001161304,0.001252749,0,0,0,0.01450891,0.02572295,0,0.02007098,8.56E-05,6.31E-06,0.007158963,1.29E-06,0.003015578,0,0,9.74E-06,0,3.50E-05,0,0,0,0,0,0,0,0.003345273,0.01726848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01728097,0.8467675,0
N. Rock sole,0.000711522,0,0,0,0,0,0,0.02597567,0.001074765,0.00313778,0.00338486,0,0,0,0.002749478,0.1004545,0,4.48E-05,0,0,0.02058381,0.001224721,2.22E-05,0,0,0.08156972,0,0,0,0,0,0,0,0,0,0.01614031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03884722,1.903514,0
Flatfish,0.000253003,0,0,0,0,0,0,0.1016006,0.004203812,0.01227304,0.01323947,0,0,0,3.26E-05,0.01032506,0,0,0,0,0.02071716,0.001053793,3.92E-09,0,0,0.001286402,0,0,0,0,0,0,0,0,7.06E-05,0.003636473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01183584,0.5799562,0
Skates,0,0.001059242,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,0,7.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008691862,0.4259013,0
Sablefish,0,5.22E-05,0,0,0,0,0,0.01100695,0,0,0,0,0,0,0,0,0,0,0,0,0.00064922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000808018,0.03959287,0
Eelpouts,0,0.0137626,0.003877306,0,0,0,0,0,0.000607229,0.01329605,0.03471014,0,0,0,0.04491468,0.299139,0,0.06757192,0.004866133,0.06078637,0.0058619,0.000214288,0.01002506,0.003040811,0.0279627,0.09191509,1.20E-05,0.08754272,0,0,0,0,0,0,0,0.05585825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02142524,1.049837,0
Deepwater Fish,0,0.001336823,0,0,0,0,0,0,0,0,0,0,0,0.03194838,5.10E-05,0,0,7.86E-06,0,5.18E-06,0,0,0,0,0,0,0,0,0,0.001226677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01044894,0.5119982,0
POP,0,0.000228237,0,0,0,0,0,0.001683966,0.000185801,0.000809316,0,0.000446593,8.08E-05,0,0,0.00083392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001375653,0.06740697,0
Rockfish,0,5.15E-05,0,0,0,0,0,0.000380075,4.19E-05,0.000182707,0,0.000100832,1.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370205,0.01814006,0
Shortspine Thorns,0,6.32E-06,0,0,0,0,0,4.66E-05,5.14E-06,2.24E-05,0,1.23E-05,2.23E-06,0,0,0,0,0,0,6.92E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84E-05,0.000902728,0
Other Sebastes,0,1.23E-05,0,0,0,3.96E-06,0,9.07E-05,1.00E-05,4.36E-05,0,2.40E-05,4.35E-06,0,0,4.52E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32E-05,0.004567106,0
Atka mackerel,0,0,0,0,0,0,0,0.01100695,6.07E-05,0.002659211,0,2.89E-07,5.23E-08,0,0,0.01476682,0,0.000648192,0,0,0.003096915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007181539,0.3518954,0
Greenlings,0,0,0,0,0,0,0,0,0,5.70E-06,0,0,0,0,0,0.000212468,0,0,0,0,0.000139872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0.000582147,0
Sculpins,0,0.004644125,0.00160821,0,0,0,0,0.00220139,0.003643373,0.01329605,0.0458977,0,0,0,0.03500258,0.1638362,0,0.05420159,0.000262392,0.01807978,0.01519557,0.00567126,0.01642163,0.003940698,0,0.01964261,0,0.06407915,0,0,0.000134767,0,2.89E-05,0,0.000780816,0.0383871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01649376,0.8081943,0
Misc.fish shallow,0,0.003088675,0.001069575,0,0.03275577,0,0,0,0.001821687,0.03589933,0.05737213,0,0,0.003194838,0.009036617,0.03258069,0,0.003075331,0.000757983,0.007958711,0.009790519,9.26E-05,0.009533348,0,0,0.02875038,2.59E-06,0.004679205,0,0,2.95E-05,3.92E-07,6.96E-06,0,0,0.115456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154311,0.5656123,0
Octopi,0,0.00054473,0,0,0,0,0.01787347,0.00220139,0.01093012,0.02659211,0.005737212,0,0,0.003194838,0.002755887,0.04834813,0,0.000108905,0,4.31E-05,0.003000872,0.000347842,0.000404426,0,4.09E-05,0,0.00138085,0,0,0,0,0,0,0,0,0.02407912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002931918,0.143664,0
Squids,0,0.05355031,0.0201873,0,0.05006646,0.002738693,0,0.6604171,0.001821687,0.006648026,0.000286861,0.1561112,0.02684097,0.03194838,0.3298585,0.006943284,0,0.01371622,0.000191979,0.2858862,0.002037941,0,0.005497434,9.22E-05,0,2.23E-05,0.007507112,0,0.9761934,0.000132813,0.01407931,0,0.002925179,0,0,0.000114876,0,0,0,0.2238823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04125127,2.021312,0
Salmon,3.28E-05,0.000978795,0.000338946,0,0.01011663,0,0,0.02238814,0.000607229,0.001329605,0,1.51E-08,0,0.007987095,0,0.01233626,0,0,0,0,0,0,0,0,0,0.01975834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009255842,0.4535363,0
Bathylagidae,3.19E-05,0,0.000329037,0,0,0,0,0,0,0,0,0.005043097,0.000543464,0,0.04510883,1.01E-05,0,0,0,0.05937539,0,0,4.46E-06,0,0,0,0.000635668,0,0,0.002356511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002657253,0.1302054,0
Myctophid,0.000113494,0,0.00117138,0,0,0,0,0.1096953,0,0,0,0.04167688,0.001934742,0,0.1544717,1.32E-06,0,0.005331817,0.000113615,0.04323668,7.80E-05,0,9.98E-06,0,0,0,3.78E-05,0,0,0.003331629,8.95E-05,0,1.92E-05,0,0,0,0,0,0.2472766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01309019,0.6414191,0
Forage fish,0.000675143,0.02012244,0.006968184,0,0.4318719,0.001485611,0,0.3588267,0.006072289,0.01462566,0.04905317,0.3600841,0.05408137,0,0.5638364,0.4841316,0,0.06825378,0.003458149,0.008000612,0.04793182,0.02697414,0.02304374,0.6204618,0.04071007,0.02495137,0.0109577,0.0584953,0,0,0,0,0,0,0,0.1334562,0,0,1.236383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005068956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08654472,4.240692,0
Bairdi,0,0,0,0.000510313,0.000158749,0,0.001525271,0,5.18E-05,0.000226929,0,0,7.23E-06,0,0.01031561,0.3590186,0,0,0.000113801,1.33E-09,0.01646908,0.007983679,0.0137383,0.000166519,0.01443199,0.0470086,0,0.003235169,0,0,1.87E-06,0,6.12E-07,0.004053228,0,0.06849372,0,0.03512687,0,0,0,0,0,0,0,0,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4517215,0
King Crab,0,0,0,0.000182894,5.69E-05,0,0.000805796,0,2.74E-05,0.000119886,0,0,2.59E-06,0,0.000185157,0.07372379,0,0,0,1.05E-06,0.001154636,0.0004234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02941929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1841968,0
Opilio,0,0,0,0.00187171,0.000582257,0,0.00689331,0,0.000234192,0.001025585,0,0,2.65E-05,0,0.001912188,0.7105197,0,5.77E-09,0,2.01E-06,0.02148479,0.01892139,0.01790593,0.002301028,0.004008787,0.04122151,0,0.442703,0,0,0,0,0,0,0,0.06483823,0,0.03512687,0,0,0,0,0,0,0,0,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426261,0
Pandalidae,0,0,0,0.005010608,0.001558713,0,0.01345213,0,0.00022851,0.01501054,0.01187452,0,7.10E-05,0.000399355,2.122443,0.4704764,0,0.1450648,0.00473079,0.002124134,0.006064116,0.000490078,0.3170725,0.008433769,0.2119244,0.000980978,5.14E-05,0,0,0,0.01725606,4.48E-06,0.003710187,0,0,0.08292732,0.04368733,0,0,0,0,0,0,0,0,0,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.570525,0
NP shrimp,0,0,0,0.008304294,0.00258332,0,0.02229479,0,0.000378719,0.0248776,0.01968015,0,0.000117661,0.000399355,0.6306908,0.9438799,0,0.6879316,0.04097613,0.00675874,0.4415456,0.3873601,0.3968559,0.1802138,0.6058698,0.135865,0.00018559,0.06483927,0.9761934,9.87E-05,0.003814516,0.000353636,0.001433827,0,0.001022529,1.159106,0.482681,0,0,0,0,0,0,0,0,0,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.132119,0
Sea stars,0,0,0,0.001919942,0.000597263,0,0,0,0,0,0,0,0,0,0.002986612,0.001187431,0,0,0,0,5.21E-08,2.92E-05,7.46E-08,2.09E-06,1.36E-08,0.000488528,1.89E-05,0,0,0,0,0,0,0,0,9.02E-05,0,0,0,0,0,0,0,0,0.004801997,0.004100315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.957939,0
Brittle stars,0,0,0,0.002208798,0.000687117,0,0,0,0,0,0,0,0,0,0.003837412,0.002498455,0,0.000215157,2.35E-06,1.59E-05,4.79E-05,0.1213628,0.7263031,0.05880054,0.04785654,4.49E-05,9.34E-06,0.8644356,0,0,0,0,0,0,0,0.000476162,0,0,0,0,0,0,0,0.133426,0.02095144,0.486388,0,0,0.4485517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221106,0
Urchins dollars cucumbers,0,0,0,0.00082334,0.000256127,0.02530327,0,0,0,0,0,0,0,0,1.31E-05,0.001036558,0,0,0,0,2.72E-05,0.1970435,0.000537027,0.1259619,0.01020266,7.08E-08,0,0,0,0,0,0,0,0,0,3.56E-05,0,0,0,0,0,0,0,0.02374771,0.127222,0.05041089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8615631,0
Snails,0,0,0,0.000492244,0.000153129,0,0.1072408,0,6.07E-05,0,0,0,0,0.000399355,0.01891243,0.04543796,0,0.00041292,0,0,0.001523556,0.04950462,0.03735412,0.006965286,0.002629744,0.000265021,0,0,0,0,0,0,0,0,1.01E-07,0.002302159,0,0.281015,0,0,0,0,0,0.06063877,0.1511467,0.3280309,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.752689,0
Hermit crabs,0,0,0,0.001306206,0.000406339,0,0.006208857,0,0.000210938,0.000923753,0.004118531,0,0,0.000399355,0.08631118,0.5784859,0,0.008823741,6.03E-06,0.001848147,0.0298,0.0753405,0.02997333,0.02452894,0.000790861,0.1719083,3.63E-07,0.01189775,0,0,0.000255707,0,8.35E-05,0,0,0.03216144,0.001240892,0.07025374,0,0,0,0,0,0.02212643,0.01242411,0.2041908,0,0,0.07475861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.458072,0
Misc. crabs,0,0,0,0.000513371,0.000159701,0.01577713,0.002440232,0,8.29E-05,0.000363057,0.001618682,0,7.27E-06,0,0.01883501,0.1069135,0,0,0,0,0.004711268,0.007051163,0.002291377,0.004965898,0.000188884,0.01387674,0,0.02327152,0,0,0,0,0,0,1.05E-05,0.06478723,0,0,0,0,0,0,0,0.02212643,0.01242411,0.2041908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6576466,0
Misc. Crustacean,0,0,0,0.006854141,0.002132204,0,0,0,0,0,0,0.003956991,0.00152055,0,1.371053,0.05698872,0,5.74E-06,8.97E-06,8.73E-07,0.000111043,1.283856,0.0254778,0.07277816,0.005551818,2.05E-05,0,0.02540916,0,0,0,0,0,0,1.50E-06,0.02551919,0.00010229,0,0,0,0,0,0,0.007755027,0.01156923,0.1168586,0,0,0,0,0,0,0,0,0,0,0.1529797,0.7931863,0.02317478,42.14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.37625,0
Benthic Amphipods,0,0,0,0.8820145,0.002913095,0,0,0,0,0,0,0.00120487,0.000208372,0,6.375405,3.733871,8.61E-05,0.004540392,0.003086038,0.003051402,0.000104397,0.8194668,0.5554145,1.941849,0.2468023,0.01090601,8.23E-06,1.55594,0,0.000447232,0.00251373,0.000834571,0.001882289,0,7.73E-05,0.4265216,0.2143643,0,0,0,0,0,0,0.06143881,0.007170577,0.3247784,4.8736,9.181617,0,1.784806,0,0,0,0,0,0,0.1529797,0.7931863,0.02317478,42.14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.2494,0
