Prey \ predator,Piscivorous birds,Non-piscivorous seabirds,Spot,Striped bass YOY,Striped bass resident,Striped bass migratory,reef assoc. fish,Bluefish YOY,Bluefish adult,Weakfish YOY,Weakfish Adult,Summer flounder,Atl. croaker,Menhaden YOY,Menhaden adult,black drum,Littoral forage fish,Alewife and herring,American eel,American shad,bay anchovy,Channel and other catfish,Other flatfish,White perch YOY,White perch adult,other elasmobranchs,gizzard shad,blue catfish,non reef assoc. fish,sandbar shark,Hard clam,other suspension feeders,Other in/epi fauna,Mesozooplankton,Microzooplankton,ctenophores,sea nettles,Blue crab YOY,Blue crab adult,Oyster YOY,Oyster 1+,soft clam,Phytoplankton,SAV,benthic algae,Detritus
Channel and other catfish,0.04522523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2449372
Other flatfish,0.01809009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04152028
White perch YOY,0,0,0,0.000694909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001324903,0,0,0,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06112292
White perch adult,0,0,0,0,0,0.03812448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1065677
other elasmobranchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16875
gizzard shad,0.1175856,0,0,0,0,0.1906224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1324903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.454252
blue catfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005760001
non reef assoc. fish,0,0,0,0,4.875348,0,0,0,0.07471228,0,0,0.1287015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005039013,0,0,0.2990471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.579037
sandbar shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233333
Hard clam,0,0.4412088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02870526,0,0,0.04528555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5772542,2.25,0,0,0,0,0,0,88.45744
other suspension feeders,0,1.808956,0,0,0.5667072,0,0.1767177,0,0,0,0,0,0.5585637,0,0,0.09058104,0,0,0.6973975,0,0,0.529961,0,0,0,0.06099314,0,0.007180801,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,4.582742
Other in/epi fauna,0,10.36841,20.30236,0.2967261,0.5333714,0.08387386,0.2589526,0.003588576,0,0.06634476,0.04004008,0.2923051,0.9008801,0,0,0,9.119996,0,1.811422,0.1387412,1.974642,0.529961,0.2028409,0.03529112,0.4305441,0.1517282,0,0.0020592,26.91424,5.33E-05,0,0,11.26508,0,0,0,0,12.28727,3.375,0,0,0,0,0,0,123.9159
Mesozooplankton,0.4251171,0,0,0.08199924,0,0,0,0,0,0,0,0,0.7116863,129.9867,0,0,0.6310995,1.249468,0,0.06025476,15.29652,0,0,0.08766889,0.1432288,0,0,0,1.196188,0,0,0,0,0,0,79.70689,4.90886,0,0,0,0,0,0,0,0,373.4402
Microzooplankton,0.004522523,0,0,0,0,0,0,0,0,0,0,0,0.1261593,97.49004,10.5974,0,0,1.249468,0,0.06025476,9.928835,0,0,0,0,0,0,0,0,0,0,0,45.06032,625.2952,0,39.97312,0,0,0,0,10.53,1.08,0,0,0,929.9633
ctenophores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1215,0,0,0,0,0,0,0,0,47.7345
sea nettles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.247
Blue crab YOY,0.04522523,0,0,0,0.02500179,0.1601228,0,0,0,0,0,0,0.45044,0,0,0,0.6100628,0,0.6656976,0,0,0,0,0,0,0,0,0,0,0.000106667,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,6.463161
Blue crab adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1349
Oyster YOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01126947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374415,0.75,0,0,0,0,0,0,0
Oyster 1+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soft clam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08207579,0,0,0.2264277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5772542,1.875,0,0,0,0,0,0,2.639142
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,97.49004,92.72727,0,0,0,0,0,0,0,0,0,0,0,12.86646,0,0,0,76.5,10.922,225.3016,243.1703,2214.198,0,0,0,0,16.60908,105.3,10.8,0,0,0,1195.903
SAV,0,5.647472,0,0,0,0,0,0,0,0,0,0,0.0450891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,38.89533
benthic algae,0,0,0,0,0,0,0.1041059,0,0,0,0,0,0,0,1.246753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,5.461,168.9762,0,0,0,0,2.858783,0.375,0,0,0,0,0,0,36.89135
Detritus,0,0.4853296,5.800675,0,0,0,0.1854661,0,0,0,0,0,0.7387397,0,0,0,4.312056,0,0,0.04043119,0,0,0,0,0,0,4.288822,0,0,0,76.5,5.461,112.6508,0,0,0,0,9.840812,1.5,0,1.17,0.12,0,0,0,0
