Prey \ predator,Piscivorous birds,Non-piscivorous seabirds,Spot,Striped bass YOY,Striped bass resident,Striped bass migratory,reef assoc. fish,Bluefish YOY,Bluefish adult,Weakfish YOY,Weakfish Adult,Summer flounder,Atl. croaker,Menhaden YOY,Menhaden adult,black drum,Littoral forage fish,Alewife and herring,American eel,American shad,bay anchovy,Channel and other catfish,Other flatfish,White perch YOY,White perch adult,other elasmobranchs,gizzard shad,blue catfish,non reef assoc. fish,sandbar shark,Hard clam,other suspension feeders,Other in/epi fauna,Mesozooplankton,Microzooplankton,ctenophores,sea nettles,Blue crab YOY,Blue crab adult,Oyster YOY,Oyster 1+,soft clam,Phytoplankton,SAV,benthic algae,Detritus,Import
gizzard shad,0.02602603,0,0,0,0,0.02498851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1109878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue catfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non reef assoc. fish,0,0,0,0,0.5855855,0,0,0,0.02414976,0,0,0.1771772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01074989,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandbar shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard clam,0,0.009990009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02097902,0.15,0,0,0,0,0,0,0,0
other suspension feeders,0,0.04095904,0,0,0.06806807,0,0.202,0,0,0,0,0,0.06193876,0,0,0.426,0,0,0.154,0,0,0.4439512,0,0,0,0.1301187,0,0.408,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Other in/epi fauna,0,0.2347652,0.7777778,0.4274274,0.06406406,0.01099494,0.296,0.014,0,0.101,0.03006012,0.4024024,0.099898,0,0,0,0.598264,0,0.4,0.1751782,0.07259714,0.4439512,1,0.221,0.5025025,0.3236867,0,0.117,0.9,0.08,0,0,0.02,0,0,0,0,0.4465534,0.225,0,0,0,0,0,0,0,0
Mesozooplankton,0.0940941,0,0,0.1181181,0,0,0,0,0,0,0,0,0.07891842,0.4,0,0,0.04139959,0.1,0,0.07607924,0.5623722,0,0,0.549,0.1671672,0,0,0,0.04,0,0,0,0,0,0,0.666,0.421,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0.01398972,0.3,0.06793207,0,0,0.1,0,0.07607924,0.3650307,0,0,0,0,0,0,0,0,0,0,0,0.08,0.72,0,0.334,0,0,0,0,0.09,0.09,0,0,0,0,0
ctenophores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0
sea nettles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue crab YOY,0.01001001,0,0,0,0.003003003,0.02099035,0,0,0,0,0,0,0.049949,0,0,0,0.0400196,0,0.147,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
Blue crab adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oyster YOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0.05,0,0,0,0,0,0,0,0
Oyster 1+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soft clam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02097902,0.125,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5944056,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.25,0.5,0.4,0.28,1,0,0,0,0,1,0.9,0.9,0,0,0,0,0
SAV,0,0.1278721,0,0,0,0,0,0,0,0,0,0,0.0049999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0
benthic algae,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0.007992008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.3,0,0,0,0,0.1038961,0.025,0,0,0,0,0,0,0,0
Detritus,0,0.01098901,0.2222222,0,0,0,0.212,0,0,0,0,0,0.08191836,0,0,0,0.2828672,0,0,0.05104949,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.2,0,0,0,0,0.3576424,0.1,0,0.01,0.01,0,0,0,0,0
Import,0.5575576,0.5754246,0,0.04804805,0,0.6716911,0,0,0,0,0,0,0.5224648,0,0.3296703,0,0.02266977,0.8,0.038,0.6216138,0,0,0,0.208,0.001001001,0.4171858,0,0.03400001,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
