Prey \ predator,Killers Whales,Toothed Whales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N Fur Seal,Steller Sea Lion juv,Resident seals,Wintering seals,Mobile Seabirds,Inshore Seabirds,Sleeper shark,W Pollock ,P cod ,Herring ,Arrowtooth ,Kamchatka fl ,Gr Turbot ,P Halibut ,YF Sole ,FH Sole ,N Rock sole ,Flatfish,Skates,Sablefish ,Eelpouts,Deepwater Fish,POP,Rockfish,Shortspine Thorns,Other Sebastes,Atka mackerel ,Greenlings,Sculpins,Misc fish shallow,Octopi,Squids,Salmon,Bathylagidae,Myctophid,Forage fish,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc crabs,Misc Crustacean,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Polychaetes,Misc worms,Scyphozoid,Fish Larve,Chaetognaths,Euphasids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes
N Rock sole ,0.042938511,0,0,0,0,0,0,0.01200373,0.01777058,0.01337831,0.005821247,0,0,0,0.00002145,0.006729106,0,1.44E-05,0,0,0.016259418,0.000212038,0.00000595,0,0,0.052735403,0,0,0,0,0,0,0,0,0,0.004812214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flatfish,0.015268063,0,0,0,0,0,0,0.046951105,0.069507474,0.052327586,0.022769095,0,0,0,2.54E-07,0.000691641,0,0,0,0,0.016364759,0.000182445,1.05E-09,0,0,0.000831668,0,0,0,0,0,0,0,0,0.02966322,0.00108421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0.009067319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000335,0,0,0,0,0.00005725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish ,0,0.000446821,0,0,0,0,0,0.005086469,0,0,0,0,0,0,0,0,0,0,0,0,0.000512827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eelpouts,0,0.11781052,0.09603329,0,0,0,0,0,0.01004016,0.05668934,0.05969413,0,0,0,0.000350401,0.020038304,0,0.02165435,0.026264005,0.036428885,0.004630392,0.0000371,0.002686637,0.000347872,0.010504788,0.05942376,0.000168663,0.01845699,0,0,0,0,0,0,0,0.01665407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater Fish,0,0.011443463,0,0,0,0,0,0,0,0,0,0,0,0.2,0.000000398,0,0,0.00000252,0,0.000003105,0,0,0,0,0,0,0,0,0,0.003680558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0.001953749,0,0,0,0,0,0.000778185,0.003072112,0.003450619,0,0.000458845,0.000740455,0,0,5.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockfish,0,0.000441028,0,0,0,0,0,0.000175638,0.000693613,0.000778992,0,0.000103598,0.000167168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortspine Thorns,0,0.000054087,0,0,0,0,0,0.000021543,0.000085,0.0000955,0,0.00001268,0.00002046,0,0,0,0,0,0,4.15E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Sebastes,0,0.000105162,0,0,0,0.0000723,0,0.0000419,0.000165358,0.000185731,0,0.0000247,0.00003984,0,0,0.000000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atka mackerel ,0,0,0,0,0,0,0,0.005086469,0.001004016,0.01133787,0,2.97E-07,0.000000479,0,0,0.000989179,0,0.000207722,0,0,0.002446294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenlings,0,0,0,0,0,0,0,0,0,0.0000243,0,0,0,0,0,2.42E-05,0,0,0,0,0.000210487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sculpins,0,0.03975462,0.03983222,0,0,0,0,0.001017294,0.06024096,0.05668934,0.07893439,0,0,0,0.000273072,0.010974829,0,0.017369644,0.00141621,0.010835095,0.012003181,0.000981875,0.004400868,0.00045082,0,0.012699087,0,0.01351007,0,0,0.001558224,0,0.00129852,0,0.3280506,0.011445069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc fish shallow,0,0.02643966,0.02649128,0,0.008172675,0,0,0,0.03012048,0.1530612,0.09866799,0,0,0.02,0.000070499,0.00218247,0,0.000985532,0.004091066,0.004769605,0.00773366,0.000016025,0.002554862,0,0,0.018587322,0.00003635,0.000986536,0,0,0.00034092,0.000170111,0.000312452,0,0,0.03442307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octopi,0,0.004662999,0,0,0,0,0.01017812,0.001017294,0.1807229,0.1133787,0.009866798,0,0,0.02,0.0000215,0.003238677,0,0.0000349,0,0.00002585,0.002370428,6.02E-05,0.000108383,0,0.000015375,0,0.019413705,0,0,0,0,0,0,0,0,0.00717916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squids,0,0.458401115,0.5,0,0.012491749,0.05,0,0.3051882,0.03012048,0.02834467,0.00049334,0.160394103,0.245931462,0.2,0.001373385,0.000465107,0,0.004395552,0.001036168,0.1613298,0.001609796,0,0.001473269,1.05E-05,0,0.0000144,0.10554435,0,0.5,0.000398497,0.162789624,0,0.131343,0,0,0.00003425,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Salmon,0.001981827,0.008378676,0.008395033,0,0.005241342,0,0,0.02034588,0.010040162,0.005668934,0,1.56E-08,0,0.05,0,0.000826364,0,0,0,0,0,0,0,0,0,0.01277391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathylagidae,0.00192389,0,0.008149609,0,0,0,0,0,0,0,0,0.005181454,0.004979506,0,0.000519157,0.000000675,0,0,0,0.045583295,0,0,0.000001195,0,0,0,0.00893701,0,0,0.007070546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Myctophid,0.006849085,0,0.02901279,0,0,0,0,0.04069176,0,0,0,0.042820282,0.017727148,0,0.001705108,8.85E-08,0,0.001708654,0.000613212,0.02591147,0.000061634,0,0.000002675,0,0,0,0.000531155,0,0,0.009996318,0.001034964,0,0.00086247,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Forage fish,0.040743145,0.17225203,0.17258829,0,0.107753495,0.027122614,0,0.16581894,0.1004016,0.06235827,0.08436113,0.36996296,0.495522726,0,0.002398759,0.022430333,0,0.021872862,0.018664686,0.004794716,0.037861969,0.004670079,0.006175541,0.070981477,0.015293612,0.016131238,0.15405695,0.012332804,0,0,0,0,0,0,0,0.039789815,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
Bairdi,0,0,0,0.000520719,3.96E-05,0,0.000868572,0,0.000856799,0.000967541,0,0,6.62E-05,0,0.000080477,0.024049435,0,0,0.000614219,8.00E-10,0.013009145,0.001382228,0.003681757,0.00001905,0.005421689,0.030391392,0,0.000682084,0,0,0.00002166,0,0.0000275,0.003164422,0,0.020421318,0,0.05,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Crab,0,0,0,0.000186623,0.0000142,0,0.000458864,0,0.000452644,0.000511149,0,0,2.37E-05,0,1.44E-06,0.004938507,0,0,0,0.00000063,0.000912062,0.000073304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008771325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opilio,0,0,0,0.001909877,0.000145275,0,0.003925424,0,0.003872218,0.004372708,0,0,0.000242988,0,1.49E-05,0.037595301,0,1.85E-09,0,0.000001205,0.01697112,0.003275892,0.004798648,0.00026324,0.001505987,0.02665,0,0.09333688,0,0,0,0,0,0,0,0.01933144,0,0.05,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pandalidae,0,0,0,0.005112781,0.000388904,0,0.007660371,0,0.00377827,0.06399927,0.02042168,0,0.000650484,0.0025,0.018158202,0.031515617,0,0.046488015,0.02553352,0.00127298,0.004790125,0.000084848,0.084972935,0.000964832,0.079613968,0.000634209,0.000722662,0,0,0,0.199520242,0.001941527,0.1665905,0,0,0.024724681,0.01870667,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP shrimp,0,0,0,0.008473631,0.000644547,0,0.01269586,0,0.006261889,0.1060687,0.03384572,0,0.001078076,0.0025,0.009920322,0.126322735,0,0.22045712,0.221160725,0.00405047,0.348782661,0.067064325,0.10635425,0.02061665,0.227608025,0.087837715,0.002609255,0.01367033,0.5,0.000296146,0.044104688,0.1533123,0.06438003,0,0.4296038,0.34558605,0.2066813,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea stars,0,0,0,0.001959092,0.000149019,0,0,0,0,0,0,0,0,0,0.0000233,0.000079542,0,0,0,0,4.12E-08,0.00000505,0.00000002,2.40E-07,5.10E-09,0.000315837,0.000265142,0,0,0,0,0,0,0,0,0.0000269,0,0,0,0,0,0,0,0,0.006281156,0.000603733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittle stars,0,0,0,0.002253839,0.000171438,0,0,0,0,0,0,0,0,0,2.99E-05,0.000167363,0,0.00006895,0.0000127,0.000009512,0.00003785,0.02101175,0.1946435,0.006726844,0.017978341,0.000029,0.000131286,0.1822525,0,0,0,0,0,0,0,0.000141967,0,0,0,0,0,0,0,0.08267689,0.02740512,0.07161608,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urchins dollars cucumbers,0,0,0,0.000840129,6.39E-05,0.4619588,0,0,0,0,0,0,0,0,1.03E-07,6.94E-05,0,0,0,0,0.00002145,0.034114475,0.000143919,0.014410177,0.003832849,4.58E-08,0,0,0,0,0,0,0,0,0,0.0000106,0,0,0,0,0,0,0,0.01471517,0.1664102,0.007422532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snails,0,0,0,0.000502282,3.82E-05,0,0.0610687,0,0.001004016,0,0,0,0,0.0025,0.000147545,0.003043735,0,0.000132326,0,0,0.001203477,0.008570819,0.01001061,0.000796836,0.00098792,0.000171338,0,0,0,0,0,0,0,0,0.0000426,0.000686386,0,0.4,0,0,0,0,0,0.03757456,0.1977044,0.04829948,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermit crabs,0,0,0,0.001332841,0.000101383,0,0.003535659,0,0.003487736,0.003938532,0.007083006,0,0,0.0025,0.000673355,0.038750809,0,0.002827689,0.00003255,0.001107583,0.023539411,0.01304383,0.008032615,0.002806137,0.000297104,0.111139945,0.0000051,0.002508452,0,0,0.002956568,0,0.003751009,0,0,0.009588895,0.000531343,0.1,0,0,0,0,0,0.01371055,0.01625111,0.03006518,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc crabs,0,0,0,0.000523839,3.98E-05,0.2880412,0.0013896,0,0.001370765,0.001547939,0.002783793,0,6.66E-05,0,0.000146941,0.007161771,0,0,0,0,0.003721492,0.00122078,0.000614071,0.000568104,7.10E-05,0.008971413,0,0.004906429,0,0,0,0,0,0,0.004424957,0.019316235,0,0,0,0,0,0,0,0.01371055,0.01625111,0.03006518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc Crustacean,0,0,0,0.006993907,0.000531992,0,0,0,0,0,0,0.004065551,0.013932099,0,0.008696247,0.003817481,0,0.00000184,0.000048416,5.23E-07,0.000087714,0.222276215,0.00682785,0.008325898,0.00208566,0.00001325,0,0.005357117,0,0,0,0,0,0,0.000632137,0.007608516,0.0000438,0,0,0,0,0,0,0.00480537,0.0151329,0.01720634,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic Amphipods,0,0,0,0.9,0.000726827,0,0,0,0,0,0,0.001237926,0.00190922,0,0.038737605,0.210119355,0.00001965,0.001455031,0.016656291,0.001828686,8.25E-05,0.14187569,0.148846695,0.222149565,0.09271658,0.007050815,0.00011565,0.3280452,0,0.001341889,0.029064564,0.3618132,0.08451636,0,0.03249238,0.12716689,0.09178961,0,0,0,0,0,0,0.0380703,0.009379331,0.04782059,0.3,0.3,0,0.1,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral-like,0,0,0,0.000268042,0.000020394,0,0,0,0,0,0,0,0,0,0,3.11E-08,0,0.000000298,0,0,0,0.0000454,1.55E-09,0.000000575,2.39E-07,0,0,0.00171725,0,0,0,0,0,0,0.001150728,0.018514475,0,0,0,0,0,0,0,0.01153269,0.04574799,0.00814364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urochordata,0,0,0,0.000281016,2.14E-05,0,0,0,0,0,0,0,0,0,0.00001385,0.000354965,0,0.000000477,0,0,0.00001035,0.005164922,0.000664718,0.00081928,0.000120194,0.000000945,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009379331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Pens & Sponges,0,0,0,0.0000538,4.09E-06,0,0,0,0,0,0,0,0,0,0.000045,0.0000282,0,8.00E-10,0,0,0,0.0001456,0,0.000001415,0.000005125,0.000004535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858451,0,0.002601985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bivalves,0,0,0,0.04904792,0.003730833,0,0.7139949,0,0.001004016,0,0,0.006354322,0.003559879,0,0.000496843,0.001075995,0,0.000092054,0.000153676,0,0.001825315,0.08423369,0.013000453,0.067154535,0.058927996,0.0000158,0,0.05257819,0,0,0,0,0,0,0.01185256,0.000196803,0,0.4,0,0,0,0,0,0.3075563,0.1840477,0.2524816,0.1,0.1,0.91,0,0,0.2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polychaetes,0,0,0,0.01719198,0.001307709,0,0,0,0,0,0,0.002227279,0.001247787,0,0.004107448,0.038519265,0.000207026,0.000547659,0.015537255,5.00E-11,0.000112526,0.19750465,0.025195705,0.50431185,0.3286546,0.003052626,0.0000165,0.2386699,0,0.000279259,0.020072236,0,0.01672686,0,0.07078718,0.06764104,0.0000119,0,0,0,0,0,0,0.3836094,0.1886641,0.2847306,0,0,0.02,0,0,0.2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc worms,0,0,0,0.002547596,0.000193783,0,0.1832061,0,0,0,0.02614701,0.00033005,0.000184902,0,0.001112598,0.018194187,0,0,0.000392494,0,0.000944173,0.08230511,0.007775222,0.058218355,0.057685318,0.00003315,0,0.0236591,0,0.000000017,0,0,0,0,0,0.009623215,0,0,0,0,0,0,0,0,0.02596399,0.02391928,0,0,0.01,0,0,0.2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scyphozoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002395,0.00000243,0,0.00000117,0,0,0,0.002526434,0.000001405,0.0000293,1.32E-06,0.00000835,0.00779658,0,0,0,0,0,0,0,0,0.000003755,0.06429844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
