Prey \ predator,Phytoplankton,Benth.producers,Microzooplank.,Mesozooplank.,Macrozooplank.,Gelatinous zoo.,Anchovy,Sardine,Redeye,Othersmallpel,Chubmackerel,Juv.hmack.,Ad.hmack.,Mesopelagic,Snoek,Otherlargepel,Cephalopods,SmallM.capens,LargeM.capens,SmallM.parad,LargeM.parad,Pelagicdemers,Benthicdemers,Pelagicchond,Benthicchond,Apexchond,Seals,Cetaceans,Seabirds,Meiobenthos,Macrobenthos,Detritus
Chubmackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03400001,0,0,0.02,0,0,0,0,0.009999999,0,0,0.013,0,0.004002001,0,0,0
Juv.hmack.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.05100001,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.008004002,0,0,0
Ad.hmack.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0.09,0.01,0.0351321,0.022,0.27,0,0,0,0
Mesopelagic,0,0,0,0,0,0,0,0,0,0,0.157,0,0,0,0.047,0.02,0.1,0.07799999,0.1,0.08000001,0.364,0.15,0.05,0.25,0.01,0,0.007,0.04,0.1030515,0,0,0
Snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0.001,0,0.01405284,0.001,0,0.002001001,0,0,0
Otherlargepel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.005999999,0,0.00702642,0.001,0,0,0,0,0
Cephalopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.141,0.05,0.05199999,0.045,0.01,0.104,0.02,0.02,0.2,0.03,0,0.233,0.16,0.06503251,0,0,0
SmallM.capens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.01,0.022,0,0.115,0,0,0.004000001,0.001,0,0,0,0.1,0.005,0.03801901,0,0,0
LargeM.capens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0.002,0.04,0.01,0,0.022,0.009,0,0,0,0
SmallM.parad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.03400001,0.078,0.021,0.15,0,0.15,0.016,0.008,0,0,0,0.1,0.018,0.134067,0,0,0
LargeM.parad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.002,0.04999999,0,0,0.018,0.008,0,0,0,0
Pelagicdemers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.08600001,0,0.04899999,0.01,0.05,0.03,0.03,0.02,0.04999999,0.05,0.01405284,0.039,0,0.007003502,0,0,0
Benthicdemers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999,0.01,0.01,0.09400001,0.01,0.02,0.104,0.2,0.01405284,0.083,0,0,0,0,0
Pelagicchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999,0,0.09836987,0,0,0,0,0,0
Benthicchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.05,0.7448004,0,0,0,0,0,0
Apexchond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03035413,0,0,0.004002001,0,0,0
Cetaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04215852,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050025,0,0,0
Meiobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Macrobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03200001,0.46,0,0,0,0,0,0.782,0,0.64,0,0.065,0,0,0,0.07,0
Detritus,0,0,0.55,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.8,0
