Prey \ predator,Phytoplankton,Small zooplankton,Large zooplankton,Deposit Feeders,Scallops and mussels,Filter Feeders,Inf. Predators,Epi. Predators,Sth Rock Lobster,Abalone,Other Grazers,Scavengers,Microphytobenthos,Seagrass,Macroalgae,Clupeoids,Juvenile Snapper,Snapper,Juvenile Flatfish,Flatfish,Juvenile KG Whiting,KG Whiting,Juvenile Piscivores,Piscivores,Juvenile Mullet,Mullet and Garfish,Other demersals,Southern calamari,Other cepahalopods,Rays,Sharks,Birds,Marine mammals,Detritus
Juvenile Mullet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.0009999,0.001005999,0.001001584,0,0,0.033,0.007997661,0,0,0.000997047,0.0095026,0,0.00100154,0.0209979,0,0.06796804,0
Mullet and Garfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0.001001584,0,0,0,0.001498978,0,0,0.000997047,0.001000202,0,0.00100154,0.0429957,0,0.01144086,0
Other demersals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001998002,0.1039896,0.05633594,0.02999362,0,0,0.354,0.6005263,0,0,0.005001476,0.08502231,0.03136467,0.02403695,0.0429957,0.06913827,0.04368329,0
Southern calamari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019998,0.005029995,0,0,0,0,0,0,0,0.000997047,0.01148198,0.03800132,0.00100154,0.0009999,0.03306613,0.1757732,0
Other cepahalopods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999001,0.0009999,0,0.001001584,0,0,0,0,0,0,0.000999294,0.0340022,0.005055913,0.00100154,0.0009999,0.001002004,0.006240468,0
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999294,0,0,0.00100154,0.0209979,0,0.008995542,0
Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209979,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006012024,0,0
Marine mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0.1,0.9784715,0.06597498,0.149055,0,0,0,0,0.05,0.7072927,0,0,0,0,0,0,0,0,0,0,0,0,0.01302605,0.01049318,0,0,0,0.000200288,0,0.05310621,0,0
