Prey \ predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large Copepods,Gelatinous Zooplankton,Micronekton,Macrobenthos- polychaetes,Macrobenthos- crustaceans,Macrobenthos- molluscs,Macrobenthos- other,Megabenthos- filterers,Megabenthos- other,Shrimp et al.,Larval-juv fish- all,Small Pelagics- commercial,Small Pelagics- other,Small Pelagics- squid,Small Pelagics- anadromous,Medium Pelagics- (piscivores & other),Demersals- benthivores,Demersals- omnivores,Demersals- piscivores,Sharks- pelagics,HMS,Pinnipeds,Baleen Whales,Odontocetes,Sea Birds,Discard,Detritus-POC
Small Pelagics- anadromous,0,0,0,0,0,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0.001007609,0,0.01925174,0,0,0.001604244,0.02227096,0,0.05846771,0.000804003,0.006790479,0.02017987,0,0
Medium Pelagics- (piscivores & other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721882,0,0,0,0.031213,0,0.000595083,0,8.27E-05,0.000353094,0,0
Demersals- benthivores,0,0,0,0,0,0,0,0,0.001607866,0,0.00181822,0,0.002898938,0,0,0.001819155,0,0,0,0.1216143,0.03728956,0.01221896,0.01101942,0.05567741,0,0.08030378,0,0,0,0,0
Demersals- omnivores,0,0,0,0,0,0,0,0,0.000314047,0,0.000115925,0,0.000863633,0,0,0.001819155,0,0,0,0.04249413,0.006046957,0.0093992,0.004007064,0.08908386,0,0.05651059,0,0.01586872,0.01322618,0,0
Demersals- piscivores,0,0,0,0,0,0,0,0,0,0,0.001225253,0,0.001656536,0,0,0.001819155,0,0,0,0.1216143,0.004031305,0.005639521,0.218385,0.07794838,0,0.08030378,0,0.0819943,0.02856211,0,0
Sharks- pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,0
Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,0
Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02227096,0,0,0,0.001900446,0,0,0
Sea Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
Discard,0,0,0,0,0,0,0,0.005909526,0.006873121,0.005853897,0.009450739,0,0.03900589,0.07548419,0,0,0,0,0,0,0.01209391,0.02255808,0,0,0,0,0,0,0.1291007,0,0
Detritus-POC,0,0.5694807,0.4940658,0.130568,0.06195949,0.1000336,0.184,0.4596297,0.2976865,0.3345085,0.3767171,0.0902,0.1418395,0.1364995,0.0589119,0,0,0,0,0,0.01209391,0.01127904,0,0.05567741,0,0,0.01350598,0,0,0,0
