Prey \ predator,Dolphins,Seabirds,Turtles,Manatees,LgOcePisc,LgOcePlank,Coastalsharks,Rays/skates,PelOcePisc,PelCoasPisc,MackerelAdul,MackerelJuv,Sardine/Herring,PelOceJelly/eaters,PelOcePlanktivores,DemOceInvert/eaters,DemCoasPisc,DemCoasInvert/eaters,DemCoasOmniv,BentOcePisc,BentOceInvert/eaters,BentCoasPisc,BentCoasInvert/eaters,SurfacePelagics,StrucAssCoasPisc,LgGroupers,StrucAssCoasInvert/eaters,StrucAssCoasOmniv,StrucAssCoasPlank,NearshAssPisc,Mullets,NearshPlanktivores,Other fishes,Squid,Adult Shrimps,Lobsters,Large Crabs,Octopods,Stomatopods,Echinoderms/Large gastropods,Bivalves,Sessile epibenthos,Small infauna,Small mobile epifauna,Meiofauna,Small Copepods,Other Mesozooplankton,CarnivZooplank,Ichthyoplankton,CarnivJellyfish,Microbial Heterotrophs,Macroalgae,Microphytobenthos,Phytoplankton,Sea grasses,Dead carcasses,Sediment Detritus,Watercolumn Detritus,Drift Macrophytes,Import
NearshAssPisc,0.001799639,0.03150408,0,0,0.003999549,0,0.01108565,0,0,0.000100068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mullets,0.02299539,0.1190154,0,0,0,0,0,0,0,0.004402995,0.01280153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03598813,0,0,0,0.05503609,0,0,0,0,0,0.00998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NearshPlanktivores,0.1308738,0.06210804,0.007199043,0,0,0,0.02057337,0.02302091,0,0.1842253,0.1196143,0.10004,0,0,0.009993445,0,0.1999969,0.05180895,0,0,0,0.1331384,0.00019985,0.120212,0.0260229,0.02539302,0.01272376,0,0,0.09506233,0,0,0,0.05007492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other fishes,0.07658464,0,0,0,0.03299628,0,0.09028316,0.01501364,0.1,0.01000681,0.0342041,0,0.05802592,0,0.0359764,0,0.02200187,0.05220902,0.01109466,0.09983154,0,0.07209211,0.07144652,0.09130914,0.01671471,0.003599011,0.03586699,0.006203891,0.0198194,0.2631727,0,0,0.001000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0.4008196,0,0,0,0.1229984,0.06480648,0.0889699,0.1020927,0.285,0.07399938,0.05600078,0.05812325,0,0,0.01399082,0,0.05999988,0.001200207,0,0,0,0.07001727,0,0,0.06002006,0.06298272,0.03105798,0,0,0.1000656,0,0,0.009995312,0.001000597,0.00800791,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Shrimps,0.00010002,0,0,0,0.004999937,0,0.009999937,0.0100013,0.005,0.009999936,0.01600023,0,0.001000084,0,0.000500182,0.01000018,0.009999981,0.04000096,0.009995034,0.009999225,0.03997725,0.01000096,0.08002719,0,0.03000016,0.01999984,0.04999547,1.00E-04,0.001000389,0.01000003,0,0.001000383,0,0,0.004003955,0,0.01,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobsters,0.00069986,0,0,0,1.00E-04,0,0.002000184,0.002000745,0,0,0,0,0,0,0,0,0,0.000100017,0,0,0,0,1.00E-04,0,0.000500417,0.002000214,0.000999665,0,0,0,0,0,0.000100013,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Crabs,0.00069986,0,0.2299924,0,0.0149983,0,0.02998985,0.1000093,0,0.009999916,0.000300036,0,0.001000084,0,0,0.04000021,0,0.02999979,0.009995034,0.02999882,0.02999868,0.03000033,0.02000092,0,0.1500502,0.1500226,0.02999957,1.00E-04,0.001000389,0.09001406,0,0,0.001000128,0,0,0.1866268,0.005,0.005,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octopods,0.00069986,0,0,0,0.01599819,0,0.04898342,0.02001818,0,0,0,0,0,0,0,0,0.009999981,0,0,0,0,0,0,0,0.03272881,0.1000151,0.007013093,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomatopods,0,0,0,0,0,0,0,0.005004546,0,0.00360245,0,0,0,0,0,0.01971043,0,0.01300463,0.003998014,0,0.03992587,0.01000247,0.0100012,0,0.01000433,0.02000302,0.00899825,0,0,0,0,0,0,0,0.000300297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinoderms/Large gastropods,0.00069986,0,0,0,0,0.04860486,0.01799391,0.1580415,0,0,0,0,0,0,0,0.054829,0,0.08551478,0.04697666,0,0.09981465,0.06400485,0.08000367,0,0.02111859,0.01500255,0.09996648,0.000999824,0.003503429,0,0,0,0.04997656,0,0.006005932,0.2265469,0.041,0.056,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bivalves,0.001100219,0,0.2150714,0,0,0,0.03998647,0.1200112,0,0,0,0,0,0,0,0,0,0.003000519,0,0,0.01999618,0.02000151,0.08400386,0,0,0,0.04999571,0,0,0,0,0,0.1600205,0,0,0.1796407,0.364,0.235,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessile epibenthos,0,0,0.22547,0,0,0,0,0.04216443,0,0,0,0,0.0170076,0,0,0.04000021,0,0.08371449,0.3030542,0,0.005988879,0,0.0700238,0,0,0.0150037,0.1649859,0.2140319,0.01591558,0,0,0,0.1400179,0,0.08208108,0.05688623,0.153,0.12,0,0.102,0,0.01010116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small infauna,0,0,0,0,0,0,0.01199992,0.1490139,0,0.003002042,0,0,0.01700143,0,0,0.4390313,0.006100515,0.1369991,0.07796075,0.08999646,0.2689882,0.1380015,0.1700578,0.05820582,0.05001672,0,0.1699976,0.02999471,0.08208033,0,0,0,0,0.02002997,0.1961938,0.03692615,0.149,0.157,0.15,0.049,0,0.000999027,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small mobile epifauna,0,0,0,0,0,0,0.01499493,0.1700222,0,0.04299973,0.00100012,0,0.05000421,0,0.06795543,0.3540063,0.1549997,0.3200077,0.152924,0.1699868,0.2988299,0.1290124,0.3521197,0.2551255,0.1070006,0.01999984,0.2199603,0.05573497,0.1650791,0.1300003,0.005,0.09004167,0.2968905,0.1480752,0.2322294,0.01996008,0.019,0.1,0.18,0.02,0,0.01998054,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0.0320143,0,0,0,0,0.002800484,0.000299856,0,0,0,0,0,0,0,0.000901683,0,0,0,0,0.01000152,0,0.02002997,0.1241226,0,0.029,0.01,0,0.031,0.01,0.03000019,0.1,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Copepods,0,0,0,0,0,0.2345235,0,0,0,0,0,0,0.3241448,0,0.1199213,0,0,0.02600449,1.00E-04,0,0,0,0,0,0.01801586,0,0.01522843,0,0.1980939,0,0,0.3434523,0.04000512,0.02002997,0,0,0,0,0,0,0,0.000999823,0,0,0,0.02,0.12,0.1200027,0.35,0.2,0,0,0,0,0,0,0,0,0,0
Other Mesozooplankton,0,0,0,0,0,0.2345235,0,0,0.05,0.05033423,0,0,0.2079929,0,0.2648263,0,0.0498042,0.046208,0.01909081,0,0.02796873,0.000400718,0,0.00780078,0.02221956,0,0.0255477,0.006704206,0.3524449,0,0,0.354654,0.04000512,0.3304945,0,0,0,0,0,0,0,0.000999823,0,0,0,0,0.01,0.09999861,0.25,0.47,0,0,0,0,0,0,0,0,0,0
CarnivZooplank,0.01109777,0,0,0,0.000999887,0.2345235,0,0,0.05,0.01701157,0,0,0.06000506,0.587,0.2989593,0,0.002100178,0.04501604,0.01109466,0,0.08290736,0.001101974,0.05701937,0,0,0,0.03999279,0.01861167,0.1610626,0.03900609,0,0.08403221,0.1860238,0.3291446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000343,0.04,0.1,0,0,0,0,0,0,0,0,0,0
Ichthyoplankton,0,0,0,0,0.000999887,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0.005000865,0,0,0,0,0,0,0,0,0.001502806,0,0,0,0,0,0.009995313,0.00100044,0,0,0,0,0,0,0,1.00E-04,0,0,0,0,0,0.00200135,0.01,0,0,0,0,0,0,0,0,0,0,0
CarnivJellyfish,0,0,0.09999671,0,0,0.04860486,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02002997,0,0,0,0,0,0,0,0.000999005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbial Heterotrophs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2165669,0.105,0,0.2,0.101,0.1,0.3009858,0.15,0.19,0.35,0.13,0.4,0.639991,0.05,0.23,0,0,0,0,0,0,0,0,0,0
Macroalgae,0,0,0.1075857,1,0,0,0,0,0,0.000200136,0,0,0.02851273,0,0,0,0.001100093,0.006301088,0.12464,0,0.02796873,0,0,0,0,0,0,0.5389382,0,0.002501641,0.05,0,0.01999062,0,0.003002966,0.03692615,0,0,0.01,0.122,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microphytobenthos,0,0,0.1074857,0,0,0,0.0129956,0.01552371,0,0.000100068,0,0,0.002000894,0,0,0,0.002100178,0.00110019,0.04995113,0,0,0,0.004396708,0,0,0,0,0,0,0,0.01,0,0,0,0.1000069,0,0.038,0,0.06,0.099,0.12,0.04000558,0.09,0.08,0.2,0.04,0.05,0,0.05,0,0.005,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.03120476,0,0,0,0,0,0,0,0.028,0.23,0.2317743,0.22,0.1,0,0.8,0.37,0.1000023,0.15,0,0.005,0,0,0,0,0,0,0,0,0
Sea grasses,0,0,0,0,0,0.01760176,0,0,0,0,0,0,0.09014027,0,0.1618938,0,0,0,0,0,0,0,0,0.4673467,0,0,0.002905427,0.007304582,0,0,0,0,0.009995313,0,0,0,0,0,0,0.047,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead carcasses,0.01509697,0,0,0,0,0,0.06591469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000152,0.01499297,0,0.03103065,0,0.009000001,0.033,0,0.02,0,0.009990047,0,0.05,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0
Sediment Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0.02631175,0,0,0,0.000500043,0.02880497,0.178825,0,0,0.000400718,0,0,0,0,0,0.1212761,0,0,0.03,0,0.01999062,0,0.2130146,0,0.07000001,0,0.06,0.113,0.41,0.1730317,0.32,0.07,0.44,0,0.01,0,0.05,0,0.448,0,0,0,0,0,0,0,0,0
Watercolumn Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0.0848379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05040769,0,0,0,0,0,0,0,0.067,0.13,0.180033,0.05,0.07,0,0.01,0.04,0.02800063,0.05,0,0.5,0,0,0,0,0,0,0,0,0
Drift Macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02520384,0,0,0,0,0.008000001,0,0,0.181,0,0,0.05,0.15,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0
Import,0,0,0,0,0,0,0.03994581,0,0,0,0,0,0,0,0,0,0.3499947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
